order,font_id,display_name,font_path
40,040_font,바른정신,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\바른정신\나눔손글씨 바른정신.ttf
41,041_font,바른히피,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\바른히피\나눔손글씨 바른히피.ttf
42,042_font,반짝반짝_별,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\반짝반짝_별\나눔손글씨 반짝반짝 별.ttf
43,043_font,배은혜체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\배은혜체\나눔손글씨 배은혜체.ttf
44,044_font,백의의_천사,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\백의의_천사\나눔손글씨 백의의 천사.ttf
45,045_font,버드나무,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\버드나무\나눔손글씨 버드나무.ttf
46,046_font,범솜체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\범솜체\나눔손글씨 범솜체.ttf
47,047_font,부장님_눈치체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\부장님_눈치체\나눔손글씨 부장님 눈치체.ttf
48,048_font,북극성,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\북극성\나눔손글씨 북극성.ttf
49,049_font,비상체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\비상체\나눔손글씨 비상체.ttf
50,050_font,빵구니맘_손글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\빵구니맘_손글씨\나눔손글씨 빵구니맘 손글씨.ttf
51,051_font,사랑해_아들,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\사랑해_아들\나눔손글씨 사랑해 아들.ttf
